%gen_inp
fnj	꼵
fnn	꼶
fnr	꼷
fnp	꼸
fnt	꼹
fni	꼺
fwn	꼻
fno	꼼
fna	꼽
fnh	꼾
fnb	꼿
fnm	꽀
fnq	꽁
fnu	꽂
fnd	꽃
fnz	꽄
fne	꽅
fnx	꽆
fnw	꽇
fe	꽈
fey	꽉
fef	꽊
fev	꽋
fel	꽌
fek	꽍
feg	꽎
fec	꽏
fes	꽐
fej	꽑
fen	꽒
fer	꽓
fep	꽔
fet	꽕
fei	꽖
fwe	꽗
feo	꽘
fea	꽙
feh	꽚
feb	꽛
fem	꽜
feq	꽝
feu	꽞
fed	꽟
fez	꽠
fee	꽡
fex	꽢
few	꽣
fs	꽤
fsy	꽥
fsf	꽦
fsv	꽧
fsl	꽨
fsk	꽩
fsg	꽪
fsc	꽫
fss	꽬
fsj	꽭
fsn	꽮
fsr	꽯
fsp	꽰
fst	꽱
fsi	꽲
fws	꽳
fso	꽴
fsa	꽵
fsh	꽶
fsb	꽷
fsm	꽸
fsq	꽹
fsu	꽺
fsd	꽻
fsz	꽼
fse	꽽
fsx	꽾
fsw	꽿
fx	꾀
fxy	꾁
fxf	꾂
fxv	꾃
fxl	꾄
fxk	꾅
fxg	꾆
fxc	꾇
fxs	꾈
fxj	꾉
fxn	꾊
fxr	꾋
fxp	꾌
fxt	꾍
fxi	꾎
fwx	꾏
fxo	꾐
fxa	꾑
fxh	꾒
fxb	꾓
fxm	꾔
fxq	꾕
fxu	꾖
fxd	꾗
fxz	꾘
fxe	꾙
fxx	꾚
fxw	꾛
fm	꾜
fmy	꾝
fmf	꾞
fmv	꾟
fml	꾠
fmk	꾡
fmg	꾢
fmc	꾣
fms	꾤
fmj	꾥
fmn	꾦
fmr	꾧
fmp	꾨
fmt	꾩
fmi	꾪
fwm	꾫
fmo	꾬
fma	꾭
fmh	꾮
fmb	꾯
fmm	꾰
fmq	꾱
fmu	꾲
fmd	꾳
fmz	꾴
fme	꾵
fmx	꾶
fmw	꾷
ft	꾸
fty	꾹
ftf	꾺
ftv	꾻
ftl	꾼
ftk	꾽
ftg	꾾
ftc	꾿
fts	꿀
